tool_slug,captured_on,verdict,freshness,days_since_push,recent_commits,release_gap_days,issue_response_hours,contributors_90d,stars,open_issues,archived,reasons,captured_at
gateway,2026-08-05,maintained,65,71,8,204,,3,12645,100,false,"[{""fact"":""last commit"",""detail"":""Last push 71 days ago. The commit line has slowed."",""effect"":-28},{""fact"":""commit volume"",""detail"":""8 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""Last release 204 days ago against a 8-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2}]",2026-08-05T06:16:34.203694+00:00
gemini-cli,2026-08-05,maintained,100,0,100,2,,22,106368,634,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.55.0-nightly.20260803.gf47d6c6f7 2 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""22 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
genai-agents,2026-08-05,maintained,88,4,36,,540.7,2,23630,2,false,"[{""fact"":""last commit"",""detail"":""Pushed 4 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""36 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 23 days."",""effect"":-6},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
genericagent,2026-08-05,maintained,100,1,100,15,,12,13661,112,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released desktop-portable-v0.1.8 15 days ago; 5 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""12 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
genkit,2026-08-05,maintained,100,0,100,4,,15,6319,474,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released py/v0.9.0 4 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""15 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
get-shit-done,2026-08-05,dead,0,65,100,79,,4,64761,0,true,"[{""fact"":""archived"",""detail"":""The owner has archived the repository. It is read-only on GitHub."",""effect"":-100}]",2026-08-05T06:16:34.203694+00:00
gin-vue-admin,2026-08-05,maintained,100,1,55,18,26.8,8,24908,28,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""55 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v3.0.0 18 days ago; 9 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 27 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""8 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
github-mcp-server,2026-08-05,maintained,100,0,100,5,,30,31965,172,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.8.0 5 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""30 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
go-micro,2026-08-05,maintained,100,0,100,2,56.7,3,22996,7,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v6.9.0 2 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 2 days."",""effect"":2},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 108; 100 is the ceiling."",""effect"":-8}]",2026-08-05T06:16:34.203694+00:00
goose,2026-08-05,maintained,100,0,100,6,,41,52293,153,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.45.0 6 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""41 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
gpt-engineer,2026-08-05,dead,0,447,0,789,,0,55160,32,true,"[{""fact"":""archived"",""detail"":""The owner has archived the repository. It is read-only on GitHub."",""effect"":-100}]",2026-08-05T06:16:34.203694+00:00
gpt-pilot,2026-08-05,maintained,69,47,2,,,1,33713,244,false,"[{""fact"":""last commit"",""detail"":""Last push 47 days ago. The commit line has slowed."",""effect"":-18},{""fact"":""commit volume"",""detail"":""Only 2 commits in the last 12 weeks — too few to earn the volume credit."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
gpt-researcher,2026-08-05,maintained,100,17,100,17,,17,28818,43,false,"[{""fact"":""last commit"",""detail"":""Last push 17 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v3.6.0 17 days ago; 15 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""17 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 107; 100 is the ceiling."",""effect"":-7}]",2026-08-05T06:16:34.203694+00:00
graphify,2026-08-05,maintained,100,0,100,0,,21,102644,367,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.9.33 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""21 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
guide,2026-08-05,maintained,82,14,5,,,1,18030,0,false,"[{""fact"":""last commit"",""detail"":""Last push 14 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""5 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
guizang-ppt-skill,2026-08-05,maintained,100,13,16,82,,2,23212,18,false,"[{""fact"":""last commit"",""detail"":""Last push 13 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""16 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""Released v1.1.0 82 days ago; 1 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 101; 100 is the ceiling."",""effect"":-1}]",2026-08-05T06:16:34.203694+00:00
happy,2026-08-05,maintained,100,0,100,42,,8,23131,579,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released cli-1.1.10 42 days ago; 5 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""8 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
harness,2026-08-05,maintained,95,11,17,,,3,8603,3,false,"[{""fact"":""last commit"",""detail"":""Last push 11 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""17 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2}]",2026-08-05T06:16:34.203694+00:00
haystack,2026-08-05,maintained,100,0,100,15,,26,26112,65,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v3.0.0 15 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""26 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
headroom,2026-08-05,maintained,100,0,100,0,2.6,26,64837,299,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.34.0 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 3 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""26 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-05T06:16:34.203694+00:00
herdr,2026-08-05,maintained,100,0,100,1,0.7,23,24455,102,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released preview-2026-08-04-d78e3d3b5126 1 day ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about under an hour."",""effect"":6},{""fact"":""maintainers"",""detail"":""23 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-05T06:16:34.203694+00:00
hermes-agent,2026-08-05,maintained,100,0,100,1,,25,225642,9130,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2026.8.3 1 day ago; 24 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""25 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
hermes-webui,2026-08-05,maintained,100,4,100,5,23,15,16957,176,false,"[{""fact"":""last commit"",""detail"":""Pushed 4 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released exp-v0.52.158 5 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 23 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""15 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-05T06:16:34.203694+00:00
hexstrike-ai,2026-08-05,maintained,93,1,1,,,1,10809,58,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""Only 1 commit in the last 12 weeks — too few to earn the volume credit."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5}]",2026-08-05T06:16:34.203694+00:00
hindsight,2026-08-05,maintained,100,0,100,6,,14,19107,68,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.8.6 6 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""14 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
hive,2026-08-05,maintained,65,67,5,95,,5,10858,900,false,"[{""fact"":""last commit"",""detail"":""Last push 67 days ago. The commit line has slowed."",""effect"":-28},{""fact"":""commit volume"",""detail"":""5 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""Last release 95 days ago against a 2-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2}]",2026-08-05T06:16:34.203694+00:00
humanizer,2026-08-05,maintained,100,13,16,13,,4,33554,12,false,"[{""fact"":""last commit"",""detail"":""Last push 13 days ago — inside a normal release month."",""effect"":-8},{""fact"":""commit volume"",""detail"":""16 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""Released v2.9.1 13 days ago; 2 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""4 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 101; 100 is the ceiling."",""effect"":-1}]",2026-08-05T06:16:34.203694+00:00
humanlayer,2026-08-05,stale,59,47,1,158,,1,11196,59,false,"[{""fact"":""last commit"",""detail"":""Last push 47 days ago. The commit line has slowed."",""effect"":-18},{""fact"":""commit volume"",""detail"":""Only 1 commit in the last 12 weeks — too few to earn the volume credit."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 158 days ago against a 1-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
hummingbot,2026-08-05,maintained,100,0,100,6,,10,19345,69,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2.16.0 6 days ago; 9 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""10 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
hyperframes,2026-08-05,maintained,100,0,100,0,,7,39531,20,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.7.94 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""7 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
ida-pro-mcp,2026-08-05,maintained,99,0,71,302,3.1,22,11090,33,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""71 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 302 days ago against a 96-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 3 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""22 people committed in the last 90 days."",""effect"":5}]",2026-08-05T06:16:34.203694+00:00
img2threejs,2026-08-05,maintained,100,2,45,9,,3,9682,24,false,"[{""fact"":""last commit"",""detail"":""Pushed 2 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""45 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.4.0 9 days ago; 3 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2},{""fact"":""capped at 100"",""detail"":""The signals totalled 106; 100 is the ceiling."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
infinite-agentic-loop,2026-08-05,stale,39,148,0,,,0,605,1,false,"[{""fact"":""last commit"",""detail"":""No push in 148 days. That is longer than a quarter."",""effect"":-45},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks — the recency band above already carries the silence."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
insforge,2026-08-05,maintained,100,0,100,8,,12,12652,49,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v2.2.9 8 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""12 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
inspector,2026-08-05,maintained,100,1,100,7,,2,10587,63,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released 2.0.0 7 days ago; 25 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-05T06:16:34.203694+00:00
javaguide,2026-08-05,maintained,100,0,100,,67.2,16,157524,58,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 3 days."",""effect"":2},{""fact"":""maintainers"",""detail"":""16 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 105; 100 is the ceiling."",""effect"":-5}]",2026-08-05T06:16:34.203694+00:00
jcode,2026-08-05,maintained,100,0,100,0,4,1,15935,214,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v0.68.0 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 4 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5},{""fact"":""capped at 100"",""detail"":""The signals totalled 105; 100 is the ceiling."",""effect"":-5}]",2026-08-05T06:16:34.203694+00:00
jeecgboot,2026-08-05,maintained,83,6,72,85,,1,47281,25,false,"[{""fact"":""last commit"",""detail"":""Pushed 6 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""72 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Last release 85 days ago against a 15-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5}]",2026-08-05T06:16:34.203694+00:00
job-search,2026-08-05,maintained,100,0,100,1,2.4,26,29784,2,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.3.0 1 day ago; 4 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 2 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""26 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-05T06:16:34.203694+00:00
julep,2026-08-05,maintained,100,6,100,,,2,6600,1,false,"[{""fact"":""last commit"",""detail"":""Pushed 6 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2}]",2026-08-05T06:16:34.203694+00:00
kedro,2026-08-05,maintained,100,0,81,36,,27,10946,143,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""81 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released 1.5.0 36 days ago; 8 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""27 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
keploy,2026-08-05,maintained,100,0,100,0,20.5,15,18367,357,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v3.6.7 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 21 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""15 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 115; 100 is the ceiling."",""effect"":-15}]",2026-08-05T06:16:34.203694+00:00
kestra,2026-08-05,maintained,100,0,100,0,,25,27556,378,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v1.0.54 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""25 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
khazix-skills,2026-08-05,maintained,100,2,41,,,2,19149,18,false,"[{""fact"":""last commit"",""detail"":""Pushed 2 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""41 commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits, so there is no cadence to score."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2}]",2026-08-05T06:16:34.203694+00:00
kilo-code,2026-08-05,maintained,100,0,100,0,,13,26713,570,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":0},{""fact"":""releases"",""detail"":""Released v7.4.20 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""13 people committed in the last 90 days."",""effect"":5},{""fact"":""capped at 100"",""detail"":""The signals totalled 109; 100 is the ceiling."",""effect"":-9}]",2026-08-05T06:16:34.203694+00:00
