kit_slug,method_version,total,normalised,coverage,maintenance,completeness,transparency,documentation,support,breakdown,computed_at
jumpstart,1.0,33.9,33.9,1,5,8.9,14,0,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":5,""cadence"":0,""recency"":0,""measured"":true,""days_since_commit"":573},""completeness"":{""of"":14,""max"":25,""found"":5,""points"":8.9,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":4,""points"":14,""source"":6,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.436+00:00
jumpstart-pro,1.0,40.3,57.6,0.7,,14.3,11,15,0,"{""support"":{""max"":10,""points"":0,""stated"":false,""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":8,""points"":14.3,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":51,""points"":15,""measured"":true}}",2026-09-04T05:41:51.436+00:00
kostra,1.0,66.6,66.6,1,16,19.6,20,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":1,""points"":16,""cadence"":3,""recency"":12,""measured"":true,""days_since_commit"":46},""completeness"":{""of"":14,""max"":25,""found"":11,""points"":19.6,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.436+00:00
larafast,1.0,24.7,35.3,0.7,,10.7,7,7,0,"{""support"":{""max"":10,""points"":0,""stated"":false,""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":6,""points"":10.7,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":0,""points"":7,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":null,""points"":7,""measured"":true}}",2026-09-04T05:41:51.436+00:00
laravel-jetstream,1.0,70.7,70.7,1,27,10.7,20,7,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":27,""cadence"":10,""recency"":12,""measured"":true,""days_since_commit"":40},""completeness"":{""of"":14,""max"":25,""found"":6,""points"":10.7,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":null,""points"":7,""measured"":true}}",2026-09-04T05:41:51.436+00:00
launchfast,1.0,34.1,48.7,0.7,,16.1,11,7,0,"{""support"":{""max"":10,""points"":0,""stated"":false,""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":9,""points"":16.1,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":null,""points"":7,""measured"":true}}",2026-09-04T05:41:51.436+00:00
makerkit,1.0,49.9,71.3,0.7,,17.9,11,11,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":10,""points"":17.9,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":15,""points"":11,""measured"":true}}",2026-09-04T05:41:51.436+00:00
mksaas,1.0,51.9,74.1,0.7,,17.9,11,13,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":10,""points"":17.9,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":36,""points"":13,""measured"":true}}",2026-09-04T05:41:51.436+00:00
next-forge,1.0,75.9,75.9,1,23,17.9,20,9,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":23,""cadence"":10,""recency"":8,""measured"":true,""days_since_commit"":99},""completeness"":{""of"":14,""max"":25,""found"":10,""points"":17.9,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":6,""points"":9,""measured"":true}}",2026-09-04T05:41:51.436+00:00
next-saas-stripe-starter,1.0,37.5,37.5,1,2,12.5,17,0,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":2,""points"":2,""cadence"":0,""recency"":0,""measured"":true,""days_since_commit"":770},""completeness"":{""of"":14,""max"":25,""found"":7,""points"":12.5,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":4,""points"":17,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.435+00:00
