captured_on,time_window,app_slug,app_title,tool_slug,categories,rank,total_tokens,total_requests
2026-08-29,week,4706207,DeepSeek Harness,,[],8,2719836990151,20488073
2026-08-29,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",9,2291321027203,20942475
2026-08-29,week,3682314,omp,,"[""cli-agent""]",10,2209525398179,15764735
2026-08-29,week,pi,pi,,"[""cli-agent""]",11,2124927365302,24053055
2026-08-29,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",12,1105562853531,18411552
2026-08-29,week,codex,Codex,codex-cli,"[""cli-agent""]",13,1101614477442,16300277
2026-08-29,week,2823243,ZCode,,"[""programming-app""]",14,928744317229,5184485
2026-08-29,week,nous-research-api,Nous Research API,,"[""general-chat""]",17,664753811967,11844384
2026-08-29,week,framer,Framer,,[],19,401315530421,3421890
2026-08-29,week,4580044,HighLevel,,[],20,392804297714,7800094
2026-08-29,week,2237546,Cursor,,"[""programming-app"",""cli-agent""]",21,378522589834,2884361
2026-08-29,week,isekai-zero,ISEKAI ZERO,,"[""game""]",22,367548477412,12861572
2026-08-29,week,3909382,Command Code,,"[""programming-app"",""cli-agent"",""ide-extension"",""native-app-builder"",""personal-agent""]",23,353371679197,3453492
2026-08-29,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",24,348763518424,1668015
2026-08-29,week,portkey-ai,Portkey AI,,"[""programming-app""]",25,299843577362,6410058
2026-08-29,week,4482429,Cheaper Inference,,[],26,279574673806,2171734
2026-08-30,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",1,15073532834483,148321366
2026-08-30,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",5,5093140337091,49687030
2026-08-30,week,4137556,Zazen (Freebuff fork),,[],6,3614997191666,28251855
2026-08-30,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",7,2878988691033,37327314
2026-08-30,week,4706207,DeepSeek Harness,,[],8,2473099382178,18625213
2026-08-30,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",9,2331983342422,21941591
2026-08-30,week,pi,pi,,"[""cli-agent""]",10,2048874345798,22800442
2026-08-30,week,3682314,omp,,"[""cli-agent""]",11,2007911058820,14320670
2026-08-30,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",12,1112010060739,18492810
2026-08-30,week,codex,Codex,codex-cli,"[""cli-agent""]",13,1046544823659,14973057
2026-08-30,week,2823243,ZCode,,"[""programming-app""]",16,823081254970,4531455
2026-08-30,week,nous-research-api,Nous Research API,,"[""general-chat""]",17,632868284163,11538609
2026-08-30,week,4580044,HighLevel,,[],18,396060977880,7846633
2026-08-30,week,framer,Framer,,[],19,395658564571,3387226
2026-08-30,week,isekai-zero,ISEKAI ZERO,,"[""game""]",20,387937418951,13860809
2026-08-30,week,portkey-ai,Portkey AI,,"[""programming-app""]",22,370392920576,7666855
2026-08-30,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",23,361772104039,1671206
2026-08-30,week,2237546,Cursor,,"[""programming-app"",""cli-agent""]",24,329197340575,2461075
2026-08-30,week,openhands,OpenHands,,"[""cli-agent""]",25,272046910019,3538829
2026-08-30,week,3909382,Command Code,,"[""programming-app"",""cli-agent"",""ide-extension"",""native-app-builder"",""personal-agent""]",26,263045686738,2463138
2026-08-31,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",1,14377326932989,142725983
2026-08-31,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",5,4760064053223,46366602
2026-08-31,week,4137556,Zazen (Freebuff fork),,[],6,3640282859533,28460594
2026-08-31,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",7,2759232393091,36801377
2026-08-31,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",8,2384255122234,23189259
2026-08-31,week,4706207,DeepSeek Harness,,[],9,2075914104225,15816417
2026-08-31,week,pi,pi,,"[""cli-agent""]",10,1976233537740,21780220
2026-08-31,week,3682314,omp,,"[""cli-agent""]",11,1808695554390,12552753
2026-08-31,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",12,1099725526968,18345728
2026-08-31,week,codex,Codex,codex-cli,"[""cli-agent""]",13,980818436242,13659951
2026-08-31,week,2823243,ZCode,,"[""programming-app""]",16,724970153787,3956347
2026-08-31,week,nous-research-api,Nous Research API,,"[""general-chat""]",17,552332589972,10458387
2026-08-31,week,portkey-ai,Portkey AI,,"[""programming-app""]",18,443645177595,8972110
2026-08-31,week,isekai-zero,ISEKAI ZERO,,"[""game""]",20,401490709610,14426828
2026-08-31,week,4580044,HighLevel,,[],21,394666303620,7912461
2026-08-31,week,framer,Framer,,[],22,389469152590,3342557
2026-08-31,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",23,369648506574,1650463
2026-08-31,week,2237546,Cursor,,"[""programming-app"",""cli-agent""]",24,290223365441,2167800
2026-08-31,week,openhands,OpenHands,,"[""cli-agent""]",25,269387161192,3607193
2026-08-31,week,janitor-ai,Janitor AI,,"[""roleplay""]",26,253348009193,15911717
2026-09-01,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",2,13396536715768,135297072
2026-09-01,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",5,4515786575104,43967488
2026-09-01,week,4137556,Zazen (Freebuff fork),,[],6,3657848341393,28675341
2026-09-01,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",7,2619114017046,35795002
2026-09-01,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",8,2437382348334,24537451
2026-09-01,week,pi,pi,,"[""cli-agent""]",9,1895809348319,20798742
2026-09-01,week,4706207,DeepSeek Harness,,[],10,1586108971345,12118371
2026-09-01,week,3682314,omp,,"[""cli-agent""]",11,1572453251279,10526343
2026-09-01,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",12,1089540900139,18277247
2026-09-01,week,codex,Codex,codex-cli,"[""cli-agent""]",13,930095472485,12465669
2026-09-01,week,2823243,ZCode,,"[""programming-app""]",16,581329363028,3106785
2026-09-01,week,portkey-ai,Portkey AI,,"[""programming-app""]",17,492209032002,10039524
2026-09-01,week,nous-research-api,Nous Research API,,"[""general-chat""]",18,443160073872,9210255
2026-09-01,week,4580044,HighLevel,,[],20,395764004014,7956618
2026-09-01,week,isekai-zero,ISEKAI ZERO,,"[""game""]",21,395310409248,14248628
2026-09-01,week,framer,Framer,,[],22,379284159984,3255810
2026-09-01,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",23,360401753456,1596847
2026-09-01,week,descript,Descript,,"[""video-gen""]",24,260009672701,4559841
2026-09-01,week,janitor-ai,Janitor AI,,"[""roleplay""]",25,253348045285,15913106
2026-09-01,week,2237546,Cursor,,"[""programming-app"",""cli-agent""]",26,239857695715,1763801
2026-09-02,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",2,12500680266854,128739448
2026-09-02,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",5,4171295790116,40791909
2026-09-02,week,4137556,Zazen (Freebuff fork),,[],6,3646403470043,28635551
2026-09-02,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",7,2499104605787,34823174
2026-09-02,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",8,2465558857266,25533604
2026-09-02,week,pi,pi,,"[""cli-agent""]",9,1792494034371,19701584
2026-09-02,week,3682314,omp,,"[""cli-agent""]",10,1323381916070,8791391
2026-09-02,week,4706207,DeepSeek Harness,,[],11,1185061561322,9417298
2026-09-02,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",12,1076916586931,18126059
2026-09-02,week,codex,Codex,codex-cli,"[""cli-agent""]",13,893461696148,11499176
2026-09-02,week,portkey-ai,Portkey AI,,"[""programming-app""]",16,565064699971,11612138
2026-09-02,week,2823243,ZCode,,"[""programming-app""]",17,421390527822,2284978
2026-09-02,week,4580044,HighLevel,,[],19,387359740764,7623611
2026-09-02,week,isekai-zero,ISEKAI ZERO,,"[""game""]",20,386798151247,13533701
2026-09-02,week,framer,Framer,,[],21,369503599382,3135939
2026-09-02,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",22,350539541825,1570791
2026-09-02,week,nous-research-api,Nous Research API,,"[""general-chat""]",23,331665543581,7653889
2026-09-02,week,descript,Descript,,"[""video-gen""]",24,264283352710,4539981
2026-09-02,week,janitor-ai,Janitor AI,,"[""roleplay""]",25,251815721993,15829408
2026-09-02,week,openhands,OpenHands,,"[""cli-agent""]",26,232958791164,3143284
2026-09-03,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",2,11908343213552,124920193
2026-09-03,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",5,3865213496270,37666890
2026-09-03,week,4137556,Zazen (Freebuff fork),,[],6,3531445307820,27681469
2026-09-03,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",7,2547022266022,27061354
2026-09-03,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",8,2486981237674,34715845
2026-09-03,week,pi,pi,,"[""cli-agent""]",9,1758125195585,19272015
2026-09-03,week,3682314,omp,,"[""cli-agent""]",10,1193447844134,7905056
2026-09-03,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",11,1082708249589,18078386
2026-09-03,week,codex,Codex,codex-cli,"[""cli-agent""]",12,964571051194,11801231
2026-09-03,week,4706207,DeepSeek Harness,,[],13,904642996877,7617782
2026-09-03,week,portkey-ai,Portkey AI,,"[""programming-app""]",15,616212085571,12782997
2026-09-03,week,isekai-zero,ISEKAI ZERO,,"[""game""]",18,385780157015,12912018
2026-09-03,week,4580044,HighLevel,,[],19,384077676291,7353597
2026-09-03,week,framer,Framer,,[],20,367902226099,3071632
2026-09-03,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",21,338933266163,1542606
2026-09-03,week,2823243,ZCode,,"[""programming-app""]",22,286458182282,1628663
2026-09-03,week,descript,Descript,,"[""video-gen""]",23,265156868957,4540110
2026-09-03,week,janitor-ai,Janitor AI,,"[""roleplay""]",24,251172724701,15784154
2026-09-03,week,nous-research-api,Nous Research API,,"[""general-chat""]",25,249376184390,7344521
2026-09-03,week,openhands,OpenHands,,"[""cli-agent""]",26,239041650131,3318448
2026-09-04,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",2,11726225010235,123493255
2026-09-04,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",5,4090505804474,39656892
2026-09-04,week,4137556,Zazen (Freebuff fork),,[],6,3198845144862,25231250
2026-09-04,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",7,2642242835121,28017633
2026-09-04,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",8,2562816979319,33497740
2026-09-04,week,pi,pi,,"[""cli-agent""]",9,1646498172312,17806864
2026-09-04,week,3682314,omp,,"[""cli-agent""]",10,1214999084711,8030313
2026-09-04,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",11,1093534058370,18033533
2026-09-04,week,codex,Codex,codex-cli,"[""cli-agent""]",12,963689051448,11846927
2026-09-04,week,4706207,DeepSeek Harness,,[],13,878916283642,7291136
2026-09-04,week,portkey-ai,Portkey AI,,"[""programming-app""]",15,650855736272,13563591
2026-09-04,week,4580044,HighLevel,,[],18,385854825148,7254542
2026-09-04,week,isekai-zero,ISEKAI ZERO,,"[""game""]",19,376463903903,12039357
2026-09-04,week,framer,Framer,,[],20,359095492651,2954020
2026-09-04,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",21,326670067121,1516305
2026-09-04,week,2823243,ZCode,,"[""programming-app""]",22,293071662595,1668874
2026-09-04,week,descript,Descript,,"[""video-gen""]",23,261409729967,4484822
2026-09-04,week,janitor-ai,Janitor AI,,"[""roleplay""]",25,249980323978,15685585
2026-09-04,week,openhands,OpenHands,,"[""cli-agent""]",26,239123152392,3462555
2026-09-04,week,nous-research-api,Nous Research API,,"[""general-chat""]",27,231100993076,7073745
